time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T08:08:44.297Z,64.8366,-149.0145,15.7,1,ml,,,,0.54,ak,ak0215abm6s0,2021-04-25T08:13:36.870Z,"26 km N of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T08:03:00.411Z,36.36951447,-97.34934235,3.440349579,1.62,ml,29,92.09785461,0.08580097556,0.2583695962,ok,ok2021iaxh,2021-04-25T08:06:24.026Z,"10 km NNW of Perry, Oklahoma",earthquake,2.354900331,1.72816214,,23,automatic,ok,ok
2021-04-25T08:00:59.628Z,62.2915,-151.6979,6.9,1.1,ml,,,,0.74,ak,ak0215abkley,2021-04-25T08:11:26.268Z,"37 km NNW of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-25T07:53:16.640Z,33.4521667,-116.5653333,13.05,0.54,ml,16,116,0.0936,0.16,ci,ci39628279,2021-04-25T07:56:44.016Z,"15km SE of Anza, CA",earthquake,0.39,0.8,0.142,10,automatic,ci,ci
2021-04-25T07:50:28.710Z,33.9990005,-116.7938309,8.29,1.3,ml,57,29,0.08542,0.15,ci,ci39628271,2021-04-25T08:01:20.780Z,"9km N of Cabazon, CA",earthquake,0.23,0.65,0.187,11,automatic,ci,ci
2021-04-25T07:47:21.725Z,64.9005,-148.6416,6,1.2,ml,,,,0.78,ak,ak0215ab92cs,2021-04-25T08:04:35.100Z,"30 km W of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-25T07:47:06.550Z,33.8038333,-116.0766667,1.36,0.85,ml,15,108,0.1456,0.22,ci,ci39628263,2021-04-25T07:50:43.137Z,"16km NE of Indio, CA",earthquake,0.48,0.7,0.118,14,automatic,ci,ci
2021-04-25T07:44:04.380Z,38.8149986,-122.8054962,2.07,0.84,md,9,85,0.009115,0.02,nc,nc73554270,2021-04-25T08:53:07.058Z,"6km NW of The Geysers, CA",earthquake,0.46,1.15,,1,automatic,nc,nc
2021-04-25T07:32:11.300Z,35.7938333,-117.6253333,11.15,1.23,ml,11,102,0.03145,0.15,ci,ci39628255,2021-04-25T07:35:48.884Z,"20km NNE of Ridgecrest, CA",earthquake,0.37,0.69,0.285,11,automatic,ci,ci
2021-04-25T07:18:19.894Z,64.0041,-148.9899,33,1.4,ml,,,,1.49,ak,ak0215ab2ugi,2021-04-25T07:23:49.873Z,"6 km ESE of Ferry, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-25T07:17:36.480Z,38.2183,-117.8463,12.6,0.7,ml,9,106.71,0.022,0.04,nn,nn00805737,2021-04-25T09:25:44.882Z,"29 km SE of Mina, Nevada",earthquake,,6.8,,,automatic,nn,nn
